Entity,Code,Year,Annual CO₂ emissions,Annual CO₂ emissions
North America (excl. USA),,2008,3.79244175173721,1216395300
North America (excl. USA),,2009,3.7052793704238414,1168716300
North America (excl. USA),,2010,3.5479296407829377,1183444000
North America (excl. USA),,2011,3.5347611418935805,1219653000
North America (excl. USA),,2012,3.5363116955569236,1237709800
North America (excl. USA),,2013,3.5035175378433965,1236799700
North America (excl. USA),,2014,3.458586522701135,1226072200
North America (excl. USA),,2015,3.467349733382009,1227611600
North America (excl. USA),,2016,3.4284368662192843,1214237700
North America (excl. USA),,2017,3.3502682189907294,1205758100
North America (excl. USA),,2018,3.321522003037691,1220009200
North America (excl. USA),,2019,3.3182538712823035,1231214100
North America (excl. USA),,2020,3.165699919717907,1112000400
North America (excl. USA),,2021,3.1372936485051754,1160539400
North America (excl. USA),,2022,3.1870478063788674,1188572400
North America (excl. USA),,2023,3.207484488913872,1212158700
Oceania,,1923,0.7998647830772846,29520592
Oceania,,1924,0.869097575438716,32180746
Oceania,,1925,0.901477116332706,33720956
Oceania,,1926,0.9207423995095606,33859450
Oceania,,1927,0.8912359280317445,35764830
Oceania,,1928,0.8441112152783811,33733316
Oceania,,1929,0.7415764116123782,31800364
Oceania,,1930,0.7772553468334384,30764512
Oceania,,1931,0.7569248634842294,26789996
Oceania,,1932,0.8328573151336676,26589732
Oceania,,1933,0.8424096605309283,28327570
Oceania,,1934,0.8257644194868521,30191492
Oceania,,1935,0.8631636863665574,33108736
Oceania,,1936,0.8481609302556287,35690024
Oceania,,1937,0.8481128375773288,38137220
Oceania,,1938,0.8970646610176615,37942420
Oceania,,1939,0.949534353980057,42445464
Oceania,,1940,0.8210418592073095,40105132
Oceania,,1941,0.8868646613722917,44335188
Oceania,,1942,0.9457625531591844,47122844
Oceania,,1943,0.9174720469722112,46564212
Oceania,,1944,0.9006589887073033,46496400
Oceania,,1945,1.043972104983574,44779228
Oceania,,1946,1.0474424837599794,48271880
Oceania,,1947,0.9724266628866868,50227836
Oceania,,1948,0.9639523630324516,52515016
Oceania,,1949,1.0313694927335866,53672830
Oceania,,1950,1.0912524486697248,64713932
Oceania,,1951,1.0934728338421105,69779190
Oceania,,1952,1.120989862238587,72499576
Oceania,,1953,1.086592465603007,72268020
Oceania,,1954,1.1459524214081271,77804776
Oceania,,1955,1.1075598297007443,82445600
Oceania,,1956,1.094233277530198,86729070
Oceania,,1957,1.066019128516162,87260540
Oceania,,1958,1.0606171444923493,89274136
Oceania,,1959,1.0662930985771475,94416940
Oceania,,1960,1.068484442405058,100298744
Oceania,,1961,1.0640697479663708,100182616
Oceania,,1962,1.059720797172166,103294030
Oceania,,1963,1.0670315517428364,109549700
Oceania,,1964,1.0967537923808408,118717740
Oceania,,1965,1.1447493080519804,129477440
Oceania,,1966,1.115095429783415,132279140
Oceania,,1967,1.1326947686650606,138611220
Oceania,,1968,1.1269314369299892,145432300
Oceania,,1969,1.1170080795681203,153718830
Oceania,,1970,1.1156056535894585,166214060
Oceania,,1971,1.1006523367326528,170642140
Oceania,,1972,1.0725738528170328,174019410
Oceania,,1973,1.1332670976670036,193619740
Oceania,,1974,1.121218173844079,190731230
Oceania,,1975,1.1541810860050796,196819650
Oceania,,1976,1.079573356460923,194205660
Oceania,,1977,1.1220930758146919,207571890
Oceania,,1978,1.121419931620842,213846820
Oceania,,1979,1.0911310136388397,213960100
Oceania,,1980,1.1667794624479413,227388100
Oceania,,1981,1.2395140172673147,235791570
Oceania,,1982,1.2786515199407935,241295580
Oceania,,1983,1.2142187578082586,230603340
Oceania,,1984,1.23056837211591,241779620
Oceania,,1985,1.2400707480977904,251881950
Oceania,,1986,1.224175890373342,252363400
Oceania,,1987,1.2439876348932823,264348260
Oceania,,1988,1.2305876803599947,271776800
Oceania,,1989,1.2862145906500266,287940100
Oceania,,1990,1.361688015764792,309497760
Oceania,,1991,1.3440083711169704,311622940
Oceania,,1992,1.4145019428089385,318661220
Oceania,,1993,1.419048029911462,322915330
Oceania,,1994,1.4267207114302278,328044930
Oceania,,1995,1.4428444573348764,339531300
Oceania,,1996,1.434711621173819,348034700
Oceania,,1997,1.4691348197436511,358496830
Oceania,,1998,1.52977526037194,371793120
Oceania,,1999,1.5392515689546022,382561340
Oceania,,2000,1.529092426036998,390079870
Oceania,,2001,1.5574303019515998,400357540
Oceania,,2002,1.544925532787735,405958000
Oceania,,2003,1.5024312325471845,415715000
Oceania,,2004,1.5002834408558847,429568640
Oceania,,2005,1.4673716244480626,434553100
Oceania,,2006,1.4389958915353769,440741250
Oceania,,2007,1.4227755315130537,448667040
Oceania,,2008,1.4144753400544976,453681630
Oceania,,2009,1.4360730180024208,452965020
Oceania,,2010,1.3541290977926448,451682000
Oceania,,2011,1.3053346215565438,450399680
Oceania,,2012,1.295637203233391,453473280
Oceania,,2013,1.2640782157262067,446240540
Oceania,,2014,1.2492472386132354,442859330
Oceania,,2015,1.2768824059520387,452078900
Oceania,,2016,1.3005410692036912,460608160
Oceania,,2017,1.293056639642183,465369760
Oceania,,2018,1.275846876524812,468624000
Oceania,,2019,1.2668387610420573,470051360
Oceania,,2020,1.2801352521346117,449667040
Oceania,,2021,1.188539959136944,439661570
Oceania,,2022,1.1611261804703956,433028500
Oceania,,2023,1.1386207989831527,430302660
South America,,1923,0.5393102076155188,19904310
South America,,1924,0.6734815336305283,24937520
South America,,1925,0.7075130782455863,26465472
South America,,1926,0.7479781352727074,27506204
South America,,1927,0.7515408539437682,30158940
